,Caso Noticia,Grado del Delito,Caracterización,Modalidad,Título,Artículo,Procedimiento Abreviado,Tipo de Noticia,Etapa Noticia,Fecha Creación,Año de Creación,Ley,Entidad Receptora,Unidad Receptora,Fecha de la denuncia,Departamento de la denuncia,Municipio de la denuncia,Fecha de los Hechos,Departamento de los Hechos,Municipio de los Hechos,Fecha Última Actuación,Última Actuación
0,sdv-id-IkqQsK,NINGUNO,BIENES MUEBLES,COMPRA,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2024-04-19 08:18:55,2024,Ley 906,Fiscalía General de la Nación,SALA DE DENUNCIAS CARIBE,2024-03-10 22:37:55,Antioquia,MEDELLÍN,2024-03-25 06:15:46,Antioquia,MEDELLÍN,2025-03-02 18:22:43,Sale de fiscal intervención temprana a fiscal conocimiento
1,sdv-id-LuUgyu,NINGUNO,OFRECIMIENTO DE SERVICIOS,OFERTA LABORAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2024-05-23 19:27:11,2024,Ley 906,Fiscalía General de la Nación,SALA DE DENUNCIAS CARIBE,2024-08-20 18:31:31,Antioquia,"BOGOTÁ, D.C.",2024-06-13 15:02:39,Antioquia,MEDELLÍN,2025-03-20 12:03:58,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL
2,sdv-id-CKfpFC,NINGUNO,OFRECIMIENTO DE SERVICIOS,VENTA,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2025-03-08 02:19:48,2025,Ley 906,Fiscalía General de la Nación,SALA DE DENUNCIAS CARIBE,2025-01-11 23:48:48,"BOGOTÁ, D. C.",MEDELLÍN,2024-05-16 23:03:45,Antioquia,MEDELLÍN,2024-09-27 22:18:37,Obtención de documentos
3,sdv-id-DLPpoG,NINGUNO,OFRECIMIENTO DE SERVICIOS,COMPRA,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,INDAGACIÓN,2022-12-16 17:14:17,2024,Ley 906,Fiscalía General de la Nación,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2023-10-12 21:24:54,Antioquia,"BOGOTÁ, D.C.",2024-01-10 15:02:05,Antioquia,MEDELLÍN,2023-12-03 22:17:03,Obtención de documentos
4,sdv-id-BcuICS,NINGUNO,OFRECIMIENTO DE SERVICIOS,ACUERDO COMERCIAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2025-07-08 16:16:51,2025,Ley 906,Fiscalía General de la Nación,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2025-08-14 15:00:00,Antioquia,MEDELLÍN,2025-06-26 04:50:07,Antioquia,MEDELLÍN,2024-12-19 11:49:46,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL
5,sdv-id-NsfwHH,NINGUNO,BIENES MUEBLES,ACUERDO COMERCIAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2025-07-24 08:30:10,2025,Ley 906,Fiscalía General de la Nación,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2025-04-29 14:26:43,Antioquia,MEDELLÍN,2024-11-26 22:21:39,Antioquia,MEDELLÍN,2025-08-15 18:21:37,Obtención de documentos
6,sdv-id-ykCdBh,NINGUNO,OFRECIMIENTO DE SERVICIOS,ACUERDO COMERCIAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,DE OFICIO (INFORMES),INDAGACIÓN,2024-10-11 13:52:43,2024,Ley 906,Fiscalía General de la Nación,URI (UNIDAD DE REACCION INMEDIATA) - CENTRO MEDELLÍN,2024-11-30 06:16:07,Antioquia,MEDELLÍN,2024-08-09 20:00:23,Antioquia,MEDELLÍN,2025-07-27 04:04:30,Sale a fiscal de conocimiento
7,sdv-id-TZkCTs,NINGUNO,BIENES MUEBLES,ACUERDO COMERCIAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2025-05-24 12:02:25,2025,Ley 906,Fiscalía General de la Nación,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2025-03-03 20:01:05,Antioquia,MEDELLÍN,2025-05-11 06:19:20,Antioquia,MEDELLÍN,2025-06-30 07:58:55,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL
8,sdv-id-mpDgLT,NINGUNO,BIENES MUEBLES,PRÉSTAMO DE DINERO,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2025-01-28 01:30:46,2024,Ley 906,Policía Nacional,SALA DE DENUNCIAS CARIBE,2025-04-12 05:52:09,Antioquia,MEDELLÍN,2025-02-02 15:22:13,Antioquia,MEDELLÍN,2024-09-04 10:25:08,Busqueda en bases de datos de acceso publico
9,sdv-id-OyCIWn,NINGUNO,OFRECIMIENTO DE SERVICIOS,OFERTA LABORAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,INDAGACIÓN,2024-12-17 15:57:23,2025,Ley 906,Fiscalía General de la Nación,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2024-10-18 09:48:03,Antioquia,MEDELLÍN,2024-03-19 03:54:08,Antioquia,MEDELLÍN,2025-08-08 00:04:15,Obtención de documentos
10,sdv-id-DiitAW,NINGUNO,OTROS,ACUERDO COMERCIAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2025-07-15 14:29:27,2024,Ley 906,Fiscalía General de la Nación,MEVAL-SECCIONAL DE POLICIA JUDICIAL MEDELLIN,2025-08-14 15:00:00,Antioquia,MEDELLÍN,2025-07-09 06:03:11,Antioquia,MEDELLÍN,2025-04-02 12:36:50,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL
11,sdv-id-fycOIu,NINGUNO,OFRECIMIENTO DE SERVICIOS,SIMULACIÓN DE PERFILES POR RED SOCIAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,DE OFICIO (INFORMES),QUERELLABLE,2024-07-03 09:09:42,2025,Ley 906,Fiscalía General de la Nación,ESTACION CALDAS                              ,2024-04-15 08:38:20,Antioquia,MEDELLÍN,2024-03-12 06:20:47,Antioquia,MEDELLÍN,2025-07-18 20:14:23,Sale a fiscal de conocimiento
12,sdv-id-HeTrRR,NINGUNO,OFRECIMIENTO DE SERVICIOS,INVERSIÓN,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,DE OFICIO (INFORMES),QUERELLABLE,2024-03-27 05:31:24,2024,Ley 906,Fiscalía General de la Nación,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2024-04-19 21:36:34,Antioquia,MEDELLÍN,2024-09-22 13:23:05,Antioquia,MEDELLÍN,2025-05-31 14:08:49,Obtención de documentos
13,sdv-id-gsTDfl,NINGUNO,OFRECIMIENTO DE SERVICIOS,ACUERDO COMERCIAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2024-07-06 17:46:07,2024,Ley 906,Fiscalía General de la Nación,UNIDAD RECEPTORA SAU ARAUCA,2024-07-21 01:14:06,Antioquia,MEDELLÍN,2024-09-28 20:03:56,Antioquia,MEDELLÍN,2025-03-23 22:07:32,Busqueda en bases de datos de acceso publico
14,sdv-id-DirzcP,NINGUNO,OFRECIMIENTO DE SERVICIOS,VENTA,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2024-11-09 19:59:34,2024,Ley 906,Fiscalía General de la Nación,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2024-10-10 06:55:27,Antioquia,MEDELLÍN,2024-11-11 05:22:33,Antioquia,MEDELLÍN,2025-03-16 17:39:24,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL
15,sdv-id-eakbqw,AGRAVADO,BIENES MUEBLES,OFERTA LABORAL,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2024-05-09 02:57:40,2024,Ley 906,Fiscalía General de la Nación,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2024-06-18 14:21:25,Antioquia,MEDELLÍN,2024-02-19 10:20:52,Antioquia,MEDELLÍN,2024-11-28 22:41:35,Entrevista
16,sdv-id-Radzev,NINGUNO,OFRECIMIENTO DE SERVICIOS,COMPRA,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2025-06-02 16:13:26,2025,Ley 906,Fiscalía General de la Nación,OFICINA DE ASIGNACIONES - MEDELLIN - ANTIOQUIA,2025-02-12 05:48:23,"BOGOTÁ, D. C.",MEDELLÍN,2025-02-26 18:26:40,Antioquia,MEDELLÍN,2025-06-10 15:14:58,Busqueda en bases de datos de acceso publico
17,sdv-id-WkSruy,NINGUNO,OFRECIMIENTO DE SERVICIOS,VENTA,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2024-07-03 19:53:00,2024,Ley 906,Fiscalía General de la Nación,CENTRO DE CONTACTO DAUITA,2024-11-08 14:36:33,Antioquia,"BOGOTÁ, D.C.",2023-08-31 13:48:30,Antioquia,MEDELLÍN,2025-03-10 07:58:16,Registro de informacion formal
18,sdv-id-MboXvi,NINGUNO,OTROS,COMPRA,DELITOS CONTRA EL PATRIMONIO ECONOMICO,ESTAFA. ART. 246 C.P.,SI,QUERELLA,QUERELLABLE,2024-06-23 08:32:46,2024,Ley 906,Fiscalía General de la Nación,SALA DE DENUNCIAS COPACABANA,2024-06-10 05:46:52,Antioquia,CALDAS,2024-01-31 00:43:36,Antioquia,MEDELLÍN,2025-04-19 11:19:23,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL
